"title","rating","summary","releaseDate"
"Avatar: The Last Airbender","9.2","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","TV Series (2005–2008)"
"The Legend of Korra","8.4","Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.","TV Series (2012–2014)"
"Gravity Falls","8.9","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","TV Series (2012–2016)"
"Over the Garden Wall","8.8","Two brothers find themselves lost in a mysterious land and try to find their way home.","TV Mini-Series (2014)"
"Adventure Time","8.6","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","TV Series (2010–2018)"
"The Dragon Prince","8.4","Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","TV Series (2018– )"
"Batman: The Animated Series","9.0","The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.","TV Series (1992–1995)"
"Spider-Man: Into the Spider-Verse (2018)","8.4","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","14 December 2018 (USA)"
"The Amazing World of Gumball","8.2","The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.","TV Series (2011–2019)"
"The Lion King (1994)","8.5","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","24 June 1994 (USA)"
"Spirited Away (2001)","8.6","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","28 March 2003 (USA)"
"SpongeBob SquarePants","8.1","The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.","TV Series (1999– )"
"Steven Universe","8.2","A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.","TV Series (2013–2020)"
