"title","rating","summary","releaseDate"
"Disenchantment","7.2","Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","TV Series (2018– )"
"Final Space","8.3","An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.","TV Series (2018– )"
"Big Mouth","8.0","Teenage friends find their lives upended by the wonders and horrors of puberty.","TV Series (2017– )"
"Paradise PD","6.9","Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.","TV Series (2018– )"
"Futurama","8.4","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","TV Series (1999–2013)"
"F Is for Family","8.0","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.","TV Series (2015– )"
"Final Space (2016)","8.5","Cartoon Short that focuses on the misadventures of Gary Goodspeed.","Video 5 April 2016"
"Rick and Morty","9.2","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","TV Series (2013– )"
"Brickleberry","7.4","A group of never-do-well forest rangers are facing the shutdown of their National Park when a new ranger arrives to help transform them and save the park.","TV Series (2012–2015)"
"BoJack Horseman","8.7","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","TV Series (2014–2020)"
"Love, Death & Robots","8.5","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","TV Series (2019– )"
"The Simpsons","8.7","The satiric adventures of a working-class family in the misfit city of Springfield.","TV Series (1989– )"
"Family Guy","8.1","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","TV Series (1999– )"
