"title","rating","summary","releaseDate"
"Rick and Morty","9.2","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","TV Series (2013– )"
"Sherlock","9.1","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","TV Series (2010–2017)"
"Black Mirror","8.8","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","TV Series (2011– )"
"Breaking Bad","9.5","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","TV Series (2008–2013)"
"South Park","8.7","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","TV Series (1997– )"
"BoJack Horseman","8.7","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","TV Series (2014–2020)"
"Game of Thrones","9.3","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","TV Series (2011–2019)"
"Stranger Things","8.8","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","TV Series (2016– )"
"Chernobyl","9.4","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","TV Mini-Series (2019)"
"Fullmetal Alchemist: Brotherhood","9.1","Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","TV Series (2009–2012)"
"The Simpsons","8.7","The satiric adventures of a working-class family in the misfit city of Springfield.","TV Series (1989– )"
"Family Guy","8.1","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","TV Series (1999– )"
"Death Note","9.0","An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","TV Series (2006–2007)"
