"title","rating","summary","releaseDate"
"The Twilight Zone","9.0","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","TV Series (1959–1964)"
"The Beatles Anthology","9.1","An autobiographical documentary of the greatest of the rock bands.","TV Mini-Series (1995–1996)"
"Human Planet","9.0","Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of ...
                    See full summary »","TV Mini-Series (2011)"
"Life","9.1","David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated ...
                    See full summary »","TV Mini-Series (2009)"
"The Vietnam War","9.1","A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.","TV Mini-Series (2017)"
"The World at War","9.2","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","TV Series (1973–1976)"
"Third Eye Agency","7.5","Add a Plot »","TV Series (2020– )"
"The Blue Planet","9.0","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","TV Mini-Series (2001)"
"Frozen Planet","9.0","Focuses on life and the environment in both the Arctic and Antarctic.","TV Mini-Series (2011–2012)"
"Monty Python's Flying Circus","8.8","The original surreal sketch comedy showcase for the Monty Python troupe.","TV Series (1969–1974)"
"Firefly","9.0","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","TV Series (2002–2003)"
"To the Lake","7.1","An unknown virus turns Moscow into a city of the dead. There is no electricity, money has lost all value and those who are still not infected, are desperately fighting for food and fuel. ...
                    See full summary »","TV Series (2019)"
"Seinfeld","8.8","The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.","TV Series (1989–1998)"
